STUDYNO,EDITION,PART,IDNO,FIPS_ST,FIPS_CTY,SPOPARST,SPOPCRIM,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,SVIOL,SPROPERTY,SMURDER,SRAPE,SROBBERY,SAGASSLT,SBURGLRY,SLARCENY,SMVTHEFT,SARSON
9999,1,8,1625,30,21,1042520,1042048,9775,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1626,30,23,1042520,1042048,9114,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1627,30,25,1042520,1042048,3256,2,2,96.9467,0,0,0,0,0,0,0,0,0,0
9999,1,8,1628,30,27,1042520,1042048,11402,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1629,30,29,1042520,1042048,97327,4,4,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1630,30,31,1042520,1042048,103192,6,6,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1631,30,33,1042520,1042048,1343,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1632,30,35,1042520,1042048,13700,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1633,30,37,1042520,1042048,817,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1634,30,39,1042520,1042048,3277,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1635,30,41,1042520,1042048,16670,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1636,30,43,1042520,1042048,11704,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1637,30,45,1042520,1042048,1901,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1638,30,47,1042520,1042048,29614,4,4,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1639,30,49,1042520,1042048,67039,4,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1640,30,51,1042520,1042048,2421,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1641,30,53,1042520,1042048,18940,4,4,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1642,30,55,1042520,1042048,1673,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1643,30,57,1042520,1042048,7967,2,2,91.5746,0,0,0,0,0,0,0,0,0,0
9999,1,8,1644,30,59,1042520,1042048,1820,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1645,30,61,1042520,1042048,4261,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1646,30,63,1042520,1042048,115226,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1647,30,65,1042520,1042048,4593,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1648,30,67,1042520,1042048,16060,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1649,30,69,1042520,1042048,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9999,1,8,1650,30,71,1042520,1042048,4155,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1651,30,73,1042520,1042048,6192,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1652,30,75,1042520,1042048,1783,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1653,30,77,1042520,1042048,6809,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1654,30,79,1042520,1042048,1156,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1655,30,81,1042520,1042048,41610,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1656,30,83,1042520,1042048,12468,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1657,30,85,1042520,1042048,11703,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1658,30,87,1042520,1042048,9434,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1659,30,89,1042520,1042048,11331,4,4,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1660,30,91,1042520,1042048,3756,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1661,30,93,1042520,1042048,34724,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1662,30,95,1042520,1042048,9568,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1663,30,97,1042520,1042048,3638,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1664,30,99,1042520,1042048,6113,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1665,30,101,1042520,1042048,5041,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1666,30,103,1042520,1042048,693,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1667,30,105,1042520,1042048,7723,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1668,30,107,1042520,1042048,2102,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1669,30,109,1042520,1042048,1159,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1670,30,111,1042520,1042048,158943,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1671,30,113,1042520,1042048,0,0,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1672,30,777,1042520,1042048,0,7,6,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1673,31,1,1907116,1847434,31587,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1674,31,3,1907116,1847434,6354,3,4,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1675,31,5,1907116,1847434,454,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1676,31,7,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1677,31,9,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1678,31,11,1907116,1847434,3694,3,2,0,0,0,0,0,0,0,0,0,0,0
9999,1,8,1679,31,13,1907116,1847434,11331,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1680,31,15,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1681,31,17,1907116,1847434,2902,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1682,31,19,1907116,1847434,49342,4,4,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1683,31,21,1907116,1847434,5716,4,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1684,31,23,1907116,1847434,8052,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1685,31,25,1907116,1847434,25522,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1686,31,27,1907116,1847434,8501,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1687,31,29,1907116,1847434,3949,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1688,31,31,1907116,1847434,5868,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1689,31,33,1907116,1847434,10191,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1690,31,35,1907116,1847434,4825,3,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1691,31,37,1907116,1847434,4341,3,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1692,31,39,1907116,1847434,9105,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1693,31,41,1907116,1847434,10767,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1694,31,43,1907116,1847434,20372,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1695,31,45,1907116,1847434,9017,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1696,31,47,1907116,1847434,23760,5,5,98.7714,0,0,0,0,0,0,0,0,0,0
9999,1,8,1697,31,49,1907116,1847434,1915,2,2,83.3333,0,0,0,0,0,0,0,0,0,0
9999,1,8,1698,31,51,1907116,1847434,5374,3,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1699,31,53,1907116,1847434,36659,4,4,100,0,0,0,0,0,0,0,0,0,0
