year,crime_type,agency,agency_name,county,state,state_name,latitude,longitude,age 0-9,age 10-19,age 20-29,age 30-39,age 40-49,age 50-59,age 60-69,age 70-79,age 80-89,age 90-Older,age Unknown,total_crimes
2017,violent-crime,SD0630400,Jefferson Police Department,UNION,SD,South Dakota,42.831106,-96.650829,0,0,0,0,0,0,1,0,0,0,0,1
2017,property-crime,SD0070100,Chamberlain Police Department,BRULE,SD,South Dakota,43.72988,-99.092941,0,13,13,8,4,0,0,0,0,0,0,38
2017,violent-crime,SD0070100,Chamberlain Police Department,BRULE,SD,South Dakota,43.72988,-99.092941,0,2,2,6,1,0,0,0,0,0,0,11
2017,violent-crime,SD0210000,Douglas County Sheriff's Office,DOUGLAS,SD,South Dakota,43.391506,-98.358433,0,0,0,0,1,0,0,0,0,0,0,1
2017,property-crime,SD0640000,Walworth County Sheriff's Office,WALWORTH,SD,South Dakota,45.427605,-100.027856,0,0,1,0,1,0,1,0,0,0,0,3
2017,property-crime,SD0510000,Pennington County Sheriff's Office,PENNINGTON,SD,South Dakota,44.078087,-103.22213,0,103,96,81,37,14,5,2,0,0,22,360
2017,violent-crime,SD0510000,Pennington County Sheriff's Office,PENNINGTON,SD,South Dakota,44.078087,-103.22213,0,30,30,23,13,6,2,0,0,0,18,122
2017,property-crime,SD0170100,Mitchell Police Department,DAVISON,SD,South Dakota,43.709465,-98.02698,3,138,118,106,47,24,8,2,0,0,6,452
2017,violent-crime,SD0170100,Mitchell Police Department,DAVISON,SD,South Dakota,43.709465,-98.02698,1,9,29,23,13,9,2,0,0,0,0,86
2017,property-crime,SD0090100,Belle Fourche Police Department,BUTTE,SD,South Dakota,44.666737,-103.84928,0,17,23,3,6,3,1,0,0,0,0,53
2017,violent-crime,SD0090100,Belle Fourche Police Department,BUTTE,SD,South Dakota,44.666737,-103.84928,0,1,3,3,1,0,0,0,0,0,0,8
2017,property-crime,SD0130000,Clay County Sheriff's Office,CLAY,SD,South Dakota,42.779587,-96.93651,0,14,6,5,3,0,0,0,0,0,0,28
2017,violent-crime,SD0130000,Clay County Sheriff's Office,CLAY,SD,South Dakota,42.779587,-96.93651,0,1,0,2,0,0,0,0,0,0,0,3
2017,property-crime,SD0390000,Lake County Sheriff's Office,LAKE,SD,South Dakota,44.005123,-97.11244,0,23,6,6,5,0,0,0,0,0,0,40
2017,violent-crime,SD0390000,Lake County Sheriff's Office,LAKE,SD,South Dakota,44.005123,-97.11244,0,4,1,6,1,1,0,0,0,0,0,13
2017,property-crime,SD0110000,Charles Mix County Sheriff's Office,CHARLES MIX,SD,South Dakota,43.206185,-98.595143,0,29,7,8,2,2,1,0,0,0,1,50
