agency_type_name,state_name,county_name,latitude,longitude
County,Texas,FAYETTE,29.924184999999998,-96.88121
County,Texas,WALLER,30.013578000000003,-95.982102
County,Texas,DIMMIT,28.521915000000003,-99.86046999999999
County,Texas,DELTA,33.374596000000004,-95.68959
County,Texas,REAGAN,31.372895,-101.513901
County,Texas,CHAMBERS,29.703933000000003,-94.668875
County,Texas,KERR,30.028692,-99.12321999999999
County,Texas,FORT BEND,29.574139000000002,-95.75133000000001
County,Texas,NEWTON,30.786718,-93.73925
County,Texas,JASPER,30.925835,-93.98865
County,Texas,LIPSCOMB,36.2802,-100.272683
County,Texas,HAYS,29.895283000000003,-97.90417
County,Texas,MENARD,30.884058000000003,-99.854623
County,Texas,AUSTIN,29.957651000000002,-96.26286999999999
County,Texas,ARCHER,33.616305,-98.687267
County,Texas,VAN ZANDT,32.56348,-95.875336
County,Texas,OCHILTREE,36.278744,-100.815864
County,Texas,GRAYSON,33.635303,-96.61016
County,Texas,KINNEY,29.347085999999997,-100.4177
County,Texas,CONCHO,31.318865000000002,-99.863648
County,Texas,MATAGORDA,28.980653999999998,-95.966286
County,Texas,HIDALGO,26.396384,-98.18099000000001
County,Texas,DICKENS,33.614666,-100.78609499999999
County,Texas,WISE,33.23077,-97.6118
County,Texas,FISHER,32.740473,-100.40312
County,Texas,BRAZORIA,29.248562,-95.4305
County,Texas,SAN SABA,31.195728000000003,-98.71464499999999
County,Texas,CARSON,35.405496,-101.355356
County,Texas,FOARD,33.963306,-99.816828
County,Texas,CASTRO,34.55095,-102.31234
County,Texas,LIVE OAK,28.351535,-98.126961
County,Texas,DENTON,33.21497,-97.11191600000001
County,Texas,HEMPHILL,35.816237,-100.284807
County,Texas,NOLAN,32.470993,-100.40895
County,Texas,KIMBLE,30.479471999999998,-99.74639599999999
County,Texas,ATASCOSA,28.917285999999997,-98.54415999999999
County,Texas,MAVERICK,28.745216999999997,-100.311368
County,Texas,GRAY,35.536471999999996,-100.96332
County,Texas,VICTORIA,28.79637,-96.971198
County,Texas,COOKE,33.639169,-97.21037199999999
County,Texas,ARMSTRONG,34.964179,-101.356636
County,Texas,RAINS,32.87058,-95.79544
County,Texas,DEWITT,29.092402000000003,-97.28901
County,Texas,SCHLEICHER,30.896233000000002,-100.52721600000001
County,Texas,FLOYD,34.07373,-101.303274
County,Maryland,PRINCE GEORGE'S,38.890705,-76.87062
County,Maryland,WORCESTER,38.176865,-75.39335
County,Maryland,FREDERICK,39.414253,-77.41244
County,Maryland,CAROLINE,38.887570000000004,-75.833626
County,Maryland,QUEEN ANNE'S,39.039867,-76.05774
County,Maryland,HOWARD,39.276688,-76.80677
County,Maryland,WASHINGTON,39.603621000000004,-77.81467099999999
County,Maryland,CALVERT,38.539024,-76.58306
County,Maryland,MONTGOMERY,39.104620000000004,-77.18817
County,Maryland,GARRETT,39.407803,-79.40711999999999
County,Maryland,BALTIMORE,39.400009999999995,-76.60850500000001
County,Maryland,MONTGOMERY,39.084175,-77.15236
County,Maryland,CECIL,39.562352000000004,-75.94158399999999
County,Maryland,SOMERSET,38.128025,-75.703735
County,Maryland,ANNE ARUNDEL,38.993373999999996,-76.560511
County,Maryland,ALLEGANY,39.666405,-78.76458000000001
County,Maryland,HOWARD,39.252264000000004,-76.924406
County,Maryland,ST MARY'S,38.220289,-76.530384
County,Maryland,BALTIMORE,39.40067,-76.59156999999999
County,Maryland,DORCHESTER,38.54878,-76.05912
County,Maryland,WICOMICO,38.36716,-75.63202700000001
County,Maryland,HARFORD,39.537428999999996,-76.299789
County,Maryland,TALBOT,38.77446,-76.0794
County,Maryland,CARROLL,39.572829999999996,-76.98601500000001
County,Maryland,ANNE ARUNDEL,38.993373999999996,-76.560511
County,Maryland,CHARLES,38.472853,-77.015427
County,Maryland,KENT,39.223495,-76.08744
County,Maine,YORK,43.427239,-70.670402
County,Maine,CUMBERLAND,43.652527,-70.28108
County,Maine,LINCOLN,43.994263000000004,-69.514038
County,Maine,WALDO,44.422432,-69.008995
County,Maine,ANDROSCOGGIN,44.097570000000005,-70.22608000000001
County,Maine,HANCOCK,44.542797,-68.42509
County,Maine,SOMERSET,44.78861,-69.88280999999999
County,Maine,PISCATAQUIS,45.182583,-69.22461
County,Maine,KNOX,44.101504999999996,-69.13289
County,Maine,AROOSTOOK,46.727057,-68.64941
County,Maine,WASHINGTON,44.715740000000004,-67.45957
County,Maine,OXFORD,44.4945,-70.734421
County,Maine,FRANKLIN,44.697308,-70.15805999999999
County,Maine,SAGADAHOC,43.911392,-69.819916
County,Maine,KENNEBEC,44.417012,-69.765764
County,Maine,PENOBSCOT,45.390602,-68.657487
County,Iowa,DELAWARE,42.473002,-91.359438
County,Iowa,FREMONT,40.743726,-95.59951600000001
County,Iowa,HENRY,40.985864,-91.54427
County,Iowa,WINNEBAGO,43.26245,-93.63843
County,Iowa,POWESHIEK,41.684526,-92.522882
County,Iowa,ADAIR,41.328528000000006,-94.478164
County,Iowa,JOHNSON,41.668735999999996,-91.588812
County,Iowa,TAYLOR,40.737949,-94.697108
County,Iowa,CLAY,43.079822,-95.149726
County,Iowa,MARSHALL,42.041691,-92.981452
County,Iowa,RINGGOLD,40.735334,-94.244251
County,Iowa,CEDAR,41.763645000000004,-91.12222
County,Iowa,LUCAS,41.033344,-93.331467
County,Iowa,PLYMOUTH,42.737584999999996,-96.215864
County,Iowa,WASHINGTON,41.329401000000004,-91.725052
County,Iowa,MONONA,42.02791,-96.09307
County,Iowa,SIOUX,43.017720000000004,-96.07656
County,Iowa,EMMET,43.40311,-94.83667
County,Iowa,AUDUBON,41.679178,-94.904312
County,Iowa,BREMER,42.726859999999995,-92.46566999999999
County,Iowa,IOWA,41.801066999999996,-92.07138
County,Iowa,WRIGHT,42.733007,-93.734735
County,Iowa,LEE,40.59004,-91.42757399999999
County,Iowa,GUTHRIE,41.67774,-94.50237
County,Iowa,CALHOUN,42.38617,-94.643683
County,Iowa,LYON,43.42843,-96.16946999999999
County,Iowa,HANCOCK,43.075410999999995,-93.743697
County,Iowa,CRAWFORD,42.043119,-95.38909
County,Iowa,ADAMS,41.021656,-94.69690600000001
County,Iowa,HOWARD,43.373245000000004,-92.11591
County,Iowa,GREENE,42.01419,-94.37344
County,Iowa,O'BRIEN,43.083746000000005,-95.625624
County,Iowa,UNION,41.059776,-94.36151
County,Iowa,DECATUR,40.740402,-93.74693
County,Iowa,MADISON,41.330622,-94.01518399999999
County,Iowa,WEBSTER,42.50398,-94.18831999999999
County,Iowa,JEFFERSON,41.01005,-91.97883
County,Iowa,CERRO GORDO,43.153835,-93.20268
County,Iowa,POCAHONTAS,42.734033000000004,-94.678279
County,Iowa,FAYETTE,42.86445,-91.839373
County,Iowa,HAMILTON,42.390768,-93.709198
County,Iowa,MITCHELL,43.28293,-92.812874
County,Iowa,CLINTON,41.851048,-90.18745
County,Iowa,JACKSON,42.06906,-90.66787
County,Iowa,BENTON,42.168690000000005,-92.02407
County,Iowa,SHELBY,41.657696,-95.31791
County,Iowa,GRUNDY,42.36142,-92.77399399999999
County,Iowa,KOSSUTH,43.06888,-94.238174
County,Iowa,BUTLER,42.734708000000005,-92.780066
County,Iowa,WORTH,43.444041999999996,-93.21828000000001
County,Iowa,OSCEOLA,43.4027,-95.74978
County,Iowa,MUSCATINE,41.424686,-91.044106
County,Iowa,MAHASKA,41.295334000000004,-92.64363
County,Iowa,KEOKUK,41.331182,-92.167721
County,Iowa,WOODBURY,42.496563,-96.40643
County,Iowa,CHEROKEE,42.74987,-95.55457
County,Iowa,POLK,41.58507,-93.62434
County,Iowa,FLOYD,43.06438,-92.68151999999999
County,Iowa,ALLAMAKEE,43.274964000000004,-91.382751
County,Iowa,JASPER,41.685686,-93.052971
County,Iowa,WAYNE,40.739983,-93.332613
County,Iowa,HUMBOLDT,42.721140000000005,-94.21348
County,Iowa,VAN BUREN,40.754117,-91.952943
County,Iowa,CASS,41.403965,-95.013145
County,Iowa,LOUISA,41.218211,-91.25699399999999
County,Iowa,SCOTT,41.52355,-90.57856
County,Iowa,MILLS,41.04678,-95.74180600000001
County,Iowa,CLAYTON,42.891697,-91.356926
County,Iowa,DAVIS,40.750652,-92.41525
County,Iowa,MONTGOMERY,41.00889,-95.23167
County,Iowa,DICKINSON,43.389611,-95.196057
County,Iowa,HARRISON,41.64289,-95.790474
County,Iowa,TAMA,42.074847999999996,-92.529411
County,Iowa,PAGE,40.740555,-95.03648000000001
County,Iowa,WAPELLO,41.016605,-92.40911
County,Iowa,BUENA VISTA,42.741521,-95.14143100000001
County,Iowa,BLACK HAWK,42.497097,-92.33356500000001
County,Iowa,BUCHANAN,42.469856,-91.88937
County,Iowa,JONES,42.108234,-91.29007
County,Iowa,POTTAWATTAMIE,41.28416,-95.86405
County,Iowa,FRANKLIN,42.736549,-93.271425
County,Iowa,WINNESHIEK,43.292989,-91.850788
County,Iowa,SAC,42.422047,-94.98867
County,Iowa,APPANOOSE,40.73496,-92.88444
County,Iowa,IDA,42.342564,-95.46847
County,Iowa,MARION,41.331455,-93.093849
County,Iowa,DES MOINES,40.81156,-91.10088
County,Iowa,CLARKE,41.029191,-93.78409599999999
County,Iowa,BOONE,42.05968,-93.87796999999999
County,Iowa,CARROLL,42.065514,-94.86695
County,Iowa,LINN,42.077951,-91.597674
County,Iowa,WARREN,41.336769,-93.564366
County,Iowa,PALO ALTO,43.075854,-94.667296
County,Iowa,DUBUQUE,42.463481,-90.878771
County,Iowa,CHICKASAW,43.059740999999995,-92.31721
County,Iowa,DALLAS,41.685321,-94.040707
County,Iowa,MONROE,41.025253,-92.809685
County,Iowa,HARDIN,42.359776000000004,-93.0973
County,Iowa,STORY,42.037538,-93.466093
County,Idaho,ADA,43.60671,-116.26885
County,Idaho,KOOTENAI,47.677113,-116.69491799999999
County,Idaho,ONEIDA,42.186516,-112.244606
County,Idaho,JEFFERSON,43.679657,-111.91145
County,Idaho,WASHINGTON,44.246829999999996,-116.96586599999999
County,Idaho,CLEARWATER,46.67257,-115.6535
County,Idaho,TWIN FALLS,42.352309000000005,-114.66563899999998
County,Idaho,PAYETTE,44.07812,-116.93003999999999
County,Idaho,BOISE,43.987275,-115.71511000000001
County,Idaho,BOUNDARY,48.773065,-116.524619
County,Idaho,GOODING,42.939296999999996,-114.712845
County,Idaho,BENEWAH,47.315243,-116.56676000000002
County,Idaho,CANYON,43.66518,-116.68236999999999
County,Idaho,LEWIS,46.23299,-116.24048
County,Idaho,FREMONT,44.218090999999994,-111.484429
County,Idaho,CASSIA,42.535472999999996,-113.79283000000001
County,Idaho,BANNOCK,42.692938,-112.228986
County,Idaho,LATAH,46.81892,-116.730974
County,Idaho,ELMORE,43.137493,-115.67231000000001
County,Idaho,MADISON,43.82606,-111.77962
County,Idaho,BONNEVILLE,43.494877,-112.04055
County,Idaho,CUSTER,44.273340999999995,-114.252251
County,Idaho,ADAMS,44.884583,-116.431873
County,Idaho,NEZ PERCE,46.333766,-116.760903
County,Idaho,JEROME,42.726112,-114.518456
County,Idaho,BONNER,48.307823,-116.55705
County,Idaho,POWER,42.782623,-112.848564
County,Idaho,BUTTE,43.6851,-113.177627
County,Idaho,IDAHO,45.926365000000004,-116.12266499999998
County,Idaho,VALLEY,44.771531,-115.637875
County,Idaho,TETON,43.760994000000004,-111.21176499999999
County,Idaho,BLAINE,43.394482,-113.95528999999999
County,Idaho,OWYHEE,42.593063,-116.142655
County,Idaho,GEM,43.875609999999995,-116.495476
County,Idaho,SHOSHONE,47.471626,-115.92217
County,Idaho,CARIBOU,42.65466,-111.5894
County,Idaho,LINCOLN,42.93367,-114.40767
County,Idaho,BINGHAM,43.194084000000004,-112.34408
County,Idaho,LEMHI,44.928789,-113.887841
County,Idaho,CAMAS,43.463396,-114.804427
County,Idaho,CLARK,44.286251,-112.36112
County,Idaho,BEAR LAKE,42.285833000000004,-111.327445
County,Idaho,FRANKLIN,42.096275,-111.87773
County,Idaho,MINIDOKA,42.856937,-113.64001
County,Michigan,SAGINAW,43.41693,-83.96713000000001
County,Michigan,OTTAWA,42.942818,-86.08693000000001
County,Michigan,SANILAC,43.422309999999996,-82.83037
County,Michigan,TUSCOLA,43.490463,-83.39265400000001
County,Michigan,WAYNE,42.284664,-83.261953
County,Michigan,MENOMINEE,45.107777,-87.61249000000001
County,Michigan,LENAWEE,41.902657,-84.03566
County,Michigan,OCEANA,43.647255,-86.807575
County,Michigan,GENESEE,43.011513,-83.686874
County,Michigan,DICKINSON,46.012823,-87.866119
County,Michigan,LAKE,43.995187,-85.8114
County,Michigan,KALKASKA,44.678881,-85.088992
County,Michigan,ISABELLA,43.60544,-84.77493
County,Michigan,MONROE,41.914288,-83.39771
County,Michigan,ALPENA,45.079895,-83.44955
County,Michigan,MUSKEGON,43.235233,-86.24446999999999
County,Michigan,CLINTON,42.986779999999996,-84.53433000000001
County,Michigan,BARAGA,46.757862,-88.45249
County,Michigan,BENZIE,44.624905,-86.09527
County,Michigan,CHEBOYGAN,45.47612,-84.495271
County,Michigan,MARQUETTE,46.656628999999995,-87.58398199999999
County,Michigan,MACKINAC,46.167981,-85.303756
County,Michigan,BAY,43.608883,-83.85207
County,Michigan,CALHOUN,42.31573,-85.17698
County,Michigan,CLARE,44.029540000000004,-85.031235
County,Michigan,EMMET,45.375890000000005,-84.95331
County,Michigan,HILLSDALE,41.929173,-84.62812
County,Michigan,IRON,46.096672,-88.334755
County,Michigan,WEXFORD,44.245483,-85.3864
County,Michigan,MISSAUKEE,44.325424,-85.085471
County,Michigan,OAKLAND,42.660452,-83.38421
County,Michigan,WASHTENAW,42.256195,-83.68075999999999
County,Michigan,ALLEGAN,42.527992,-85.8526
County,Michigan,KEWEENAW,47.412884000000005,-88.29463
County,Michigan,SCHOOLCRAFT,46.020758,-86.199352
County,Michigan,MONTCALM,43.30014,-85.084816
County,Michigan,GLADWIN,43.980717,-84.49223
County,Michigan,ALCONA,44.65648,-83.296844
County,Michigan,ST JOSEPH,41.911488,-85.52287
County,Michigan,OGEMAW,44.33328,-84.128073
County,Michigan,GRAND TRAVERSE,44.752533,-85.607414
County,Michigan,IONIA,42.98196,-85.0616
County,Michigan,OTSEGO,45.027103000000004,-84.67586
County,Michigan,HURON,43.80161,-82.99895
County,Michigan,OSCEOLA,43.875935,-85.514725
County,Michigan,PRESQUE ISLE,45.421837,-83.81644
County,Michigan,ALGER,46.40748,-86.65890999999999
County,Michigan,ANTRIM,45.005455,-85.175639
County,Michigan,CHIPPEWA,46.498413,-84.345535
County,Michigan,EATON,42.589614000000005,-84.846524
County,Michigan,JACKSON,42.244713,-84.40929
County,Michigan,LIVINGSTON,42.612854,-83.95397
County,Michigan,LAPEER,43.034912,-83.352104
County,Michigan,MASON,43.95793,-86.44363
County,Michigan,MIDLAND,43.622696000000005,-84.22845500000001
County,Michigan,MACOMB,42.615916999999996,-82.886955
County,Michigan,CRAWFORD,44.659943,-84.71715
County,Michigan,MECOSTA,43.696682,-85.4789
County,Michigan,MANISTEE,44.272842,-86.27059
County,Michigan,BERRIEN,42.10951,-86.47704
County,Michigan,CASS,41.91624,-85.99945799999999
County,Michigan,BARRY,42.64864,-85.30355
County,Michigan,LUCE,46.352745,-85.51368000000001
County,Michigan,CHARLEVOIX,45.310783,-85.26409
County,Michigan,BRANCH,41.918585,-85.066523
County,Michigan,GOGEBIC,46.481934,-90.05244
County,Michigan,DELTA,45.746346,-87.0506
County,Michigan,ARENAC,44.03687,-83.740675
County,Michigan,LEELANAU,45.146182,-86.051574
County,Michigan,MONTMORENCY,45.007317,-84.17164
County,Michigan,VAN BUREN,42.2187,-85.89084
County,Michigan,KALAMAZOO,42.277347999999996,-85.54824
County,Michigan,SHIAWASSEE,42.980907,-84.11646999999999
County,Michigan,NEWAYGO,43.562709000000005,-85.791423
County,Michigan,KENT,42.976032000000004,-85.63003499999999
County,Michigan,IOSCO,44.329482,-82.849447
County,Michigan,ST CLAIR,42.942479999999996,-82.48136
County,Michigan,HOUGHTON,46.998196,-88.651984
County,Michigan,ROSCOMMON,44.339517,-84.611271
County,Michigan,ONTONAGON,46.875,-89.31675
County,Michigan,OSCODA,44.685121,-84.124894
County,Michigan,GRATIOT,43.292326,-84.60469
County,Michigan,INGHAM,42.588882,-84.45707
County,Utah,SUMMIT,40.87206,-110.96848600000001
County,Utah,MILLARD,39.09454,-113.52501399999998
County,Utah,DAVIS,41.037045,-112.202123
County,Utah,CARBON,39.599594,-110.81505600000001
County,Utah,PIUTE,38.335881,-112.129375
County,Utah,WEBER,41.244186,-111.96058000000001
County,Utah,BOX ELDER,41.476021,-113.052922
County,Utah,SANPETE,39.380588,-111.570451
County,Utah,WASHINGTON,37.262531,-113.4878
County,Utah,SAN JUAN,37.623082000000004,-109.789344
County,Utah,BEAVER,38.357535,-113.238948
County,Utah,GRAND,38.573288,-109.548294
County,Utah,RICH,41.627598,-111.240227
County,Utah,EMERY,39.009025,-110.7211
County,Utah,JUAB,39.713564,-112.79120800000001
County,Utah,UTAH,40.120409,-111.668667
County,Utah,DAGGETT,40.890099,-109.505785
County,Utah,TOOELE,40.529606,-112.29857
County,Utah,SEVIER,38.746824,-111.81193
